&b / °,cu crystal,crystal,crytsla cu,cu
1,16,0,4,2
1.1,2,2,0,0
1.2,12,4,0,0
1.3,6,0,0,0
1.4,22,2,0,0
1.5,10,0,2,0
1.6,12,0,0,0
1.7,8,2,0,2
1.8,22,0,0,0
1.9,18,2,0,2
2,16,2,2,0
2.1,22,2,0,0
2.2,12,2,0,0
2.3,4,2,4,0
2.4,16,6,0,0
2.5,6,0,0,0
2.6,20,2,0,0
2.7,8,0,0,0
2.8,16,2,0,2
2.9,20,2,2,2
3,14,2,0,0
3.1,12,2,0,2
3.2,24,4,0,0
3.3,24,4,0,0
3.4,16,2,0,0
3.5,14,2,2,2
3.6,34,4,0,0
3.7,18,2,0,2
3.8,14,6,0,0
3.9,30,2,0,0
4,18,4,0,0
4.1,22,8,2,0
4.2,30,2,0,0
4.3,20,6,0,0
4.4,34,10,2,0
4.5,20,4,0,0
4.6,16,0,0,0
4.7,24,2,0,0
4.8,24,8,0,0
4.9,18,4,0,0
5,36,4,0,0
5.1,22,2,0,0
5.2,24,4,0,0
5.3,34,4,2,0
5.4,28,6,0,0
5.5,20,4,2,0
5.6,16,2,0,0
5.7,30,2,0,0
5.8,32,10,4,4
5.9,14,4,0,0
6,8,4,0,0
6.1,18,8,0,2
6.2,22,4,0,0
6.3,30,6,0,0
6.4,20,0,2,0
6.5,34,6,2,0
6.6,28,22,2,0
6.7,18,18,4,0
6.8,32,16,0,2
6.9,14,18,0,0
7,32,12,6,4
7.1,30,18,0,0
7.2,14,18,0,0
7.3,28,20,2,0
7.4,34,26,2,0
7.5,28,24,2,0
7.6,24,22,2,0
7.7,22,22,6,0
7.8,32,28,2,2
7.9,14,26,4,0
8,24,24,4,0
8.1,28,8,4,0
8.2,26,20,4,0
8.3,32,14,4,0
8.4,30,8,0,0
8.5,24,30,4,0
8.6,8,40,0,0
8.7,22,32,4,0
8.8,12,34,0,0
8.9,24,26,0,0
9,22,28,0,0
9.1,38,16,4,0
9.2,20,32,2,0
9.3,26,14,2,0
9.4,10,22,0,2
9.5,20,24,2,0
9.6,24,14,6,4
9.7,28,12,2,0
9.8,16,14,0,0
9.9,28,18,0,0
10,18,22,0,0
10.1,16,16,0,2
10.2,26,4,0,0
10.3,28,14,2,0
10.4,16,10,0,0
10.5,24,14,0,0
10.6,18,14,2,2
10.7,36,4,4,0
10.8,26,16,0,0
10.9,28,8,0,0
11,36,26,2,0
11.1,26,6,0,0
11.2,18,8,0,0
11.3,22,10,0,0
11.4,22,6,6,0
11.5,24,8,2,0
11.6,18,10,0,0
11.7,24,6,2,0
11.8,24,4,0,0
11.9,36,10,0,0
12,28,4,2,0
12.1,34,6,0,0
12.2,42,6,0,0
12.3,8,10,0,0
12.4,26,8,0,0
12.5,20,10,0,0
12.6,10,8,2,0
12.7,22,8,0,0
12.8,20,4,0,0
12.9,16,6,2,0
13,22,4,0,2
13.1,16,14,0,0
13.2,10,8,0,0
13.3,16,2,2,0
13.4,20,10,0,0
13.5,28,12,0,0
13.6,8,8,0,0
13.7,14,4,2,0
13.8,16,6,2,2
13.9,8,0,0,0
14,22,2,0,0
14.1,14,8,0,0
14.2,16,4,0,0
14.3,18,6,2,0
14.4,22,6,0,2
14.5,20,14,0,0
14.6,22,8,0,2
14.7,12,4,0,0
14.8,22,4,0,0
14.9,22,6,0,0
15,22,4,2,0
15.1,16,8,0,0
15.2,24,8,0,2
15.3,14,16,0,0
15.4,18,8,0,0
15.5,18,10,2,2
15.6,32,4,2,0
15.7,16,12,2,0
15.8,26,8,0,0
15.9,20,2,2,0
16,10,2,0,2
16.1,10,0,0,2
16.2,16,6,0,2
16.3,18,12,0,0
16.4,16,4,0,0
16.5,26,10,0,0
16.6,20,4,0,2
16.7,16,4,0,2
16.8,20,6,0,2
16.9,16,8,2,2
17,20,6,0,0
17.1,20,8,0,0
17.2,22,4,0,0
17.3,22,8,0,0
17.4,20,8,0,0
17.5,18,14,2,0
17.6,18,12,0,0
17.7,28,10,0,0
17.8,14,8,2,0
17.9,18,6,2,0
18,12,4,2,0
18.1,24,4,2,4
18.2,26,6,2,2
18.3,6,6,0,2
18.4,26,6,0,0
18.5,22,4,0,0
18.6,32,4,0,0
18.7,28,2,0,0
18.8,10,4,2,0
18.9,24,4,2,2
19,26,6,0,2
19.1,14,2,2,0
19.2,20,6,2,0
19.3,30,0,2,0
19.4,26,0,0,0
19.5,14,6,2,0
19.6,22,6,0,0
19.7,16,12,0,2
19.8,28,8,0,2
19.9,30,4,0,0
20,20,10,0,0
