&b / °,crystal,crytsla cu,cu,null,cu crystal
1,0,12,7,3,14
1.1,2,3,8,0,8
1.2,1,1,9,1,8
1.3,1,6,3,2,7
1.4,3,11,4,0,8
1.5,1,9,11,3,12
1.6,0,9,7,0,12
1.7,0,8,9,0,8
1.8,1,3,9,1,10
1.9,1,5,11,1,0
2,1,10,11,3,9
2.1,1,5,7,3,5
2.2,0,6,9,0,6
2.3,2,4,4,1,5
2.4,0,4,13,0,3
2.5,0,3,12,0,4
2.6,3,3,13,0,9
2.7,7,3,13,0,5
2.8,4,4,12,1,9
2.9,3,6,11,1,2
3,4,3,8,1,3
3.1,4,3,12,0,3
3.2,3,8,13,0,4
3.3,5,2,21,0,5
3.4,6,6,19,0,2
3.5,6,2,18,0,5
3.6,5,3,19,3,4
3.7,3,4,18,0,4
3.8,3,4,17,0,8
3.9,6,4,20,3,7
4,7,6,17,1,4
4.1,5,6,17,0,6
4.2,6,3,19,0,2
4.3,3,7,21,1,10
4.4,5,2,20,0,1
4.5,1,3,21,0,3
4.6,6,3,19,1,4
4.7,9,1,18,2,1
4.8,16,6,43,0,4
4.9,17,4,39,0,3
5,11,4,46,0,3
5.1,25,3,60,1,3
5.2,21,5,59,3,3
5.3,29,4,58,1,3
5.4,21,1,73,0,2
5.5,31,2,70,1,1
5.6,15,8,81,1,5
5.7,31,3,95,0,5
5.8,30,5,82,1,11
5.9,22,0,82,1,11
6,29,4,81,0,5
6.1,33,1,94,0,7
6.2,21,4,77,0,11
6.3,34,4,90,0,15
6.4,29,2,80,1,8
6.5,21,3,87,0,12
6.6,12,0,81,0,16
6.7,20,1,82,1,17
6.8,14,4,75,0,14
6.9,15,1,100,0,20
7,21,1,81,1,23
7.1,22,5,88,0,26
7.2,15,0,76,1,31
7.3,7,3,89,0,21
7.4,17,5,90,0,27
7.5,10,5,80,1,31
7.6,12,3,117,1,22
7.7,13,3,109,0,32
7.8,16,5,110,1,28
7.9,18,2,106,0,41
8,14,0,78,1,41
8.1,5,2,64,0,44
8.2,5,1,68,0,53
8.3,13,4,100,0,43
8.4,8,2,97,0,39
8.5,13,2,118,1,50
8.6,11,0,151,0,40
8.7,11,0,170,0,43
8.8,8,3,180,1,44
8.9,10,3,144,0,57
9,11,2,109,0,59
9.1,11,2,72,0,63
9.2,8,1,62,0,69
9.3,6,2,43,1,64
9.4,3,3,46,0,73
9.5,7,3,51,0,73
9.6,3,0,53,0,67
9.7,10,1,56,0,80
9.8,11,1,43,2,54
9.9,9,6,53,0,68
10,12,2,77,0,79
10.1,10,2,70,0,75
10.2,8,2,76,1,67
10.3,13,1,59,1,79
10.4,2,2,47,1,71
10.5,11,4,42,1,70
10.6,6,4,46,1,79
10.7,6,1,42,0,78
10.8,7,1,39,0,80
10.9,6,4,34,1,88
11,7,1,48,0,96
11.1,12,1,38,0,104
11.2,5,3,40,0,101
11.3,8,6,34,0,76
11.4,8,1,40,0,91
11.5,10,6,35,1,99
11.6,6,5,32,3,89
11.7,6,7,26,1,94
11.8,8,11,21,1,89
11.9,9,8,28,2,111
12,6,10,28,1,87
12.1,4,6,28,0,110
12.2,7,6,33,3,106
12.3,8,12,38,1,99
12.4,8,5,22,1,96
12.5,5,10,27,2,110
12.6,9,6,36,3,92
12.7,4,10,30,3,86
12.8,5,9,23,3,95
12.9,6,16,30,1,88
13,6,11,33,5,85
13.1,9,13,26,2,95
13.2,8,12,32,2,98
13.3,5,14,39,2,83
13.4,6,18,30,1,92
13.5,8,8,30,2,111
13.6,5,13,35,1,73
13.7,5,20,22,2,108
13.8,7,8,24,0,79
13.9,2,18,26,4,93
14,9,19,24,2,93
14.1,4,19,31,2,120
14.2,6,20,28,2,84
14.3,9,13,25,5,87
14.4,6,16,32,6,100
14.5,6,17,24,2,85
14.6,3,21,24,5,96
14.7,3,22,25,0,90
14.8,5,13,29,3,86
14.9,2,9,25,3,93
15,4,25,27,3,104
15.1,1,18,33,3,80
15.2,0,13,28,3,68
15.3,7,15,31,2,74
15.4,7,21,25,2,80
15.5,4,18,24,1,86
15.6,4,28,47,2,87
15.7,3,14,36,3,104
15.8,4,17,43,4,78
15.9,4,17,29,0,77
16,3,25,36,3,81
16.1,7,14,22,4,87
16.2,2,23,30,0,94
16.3,8,21,34,1,83
16.4,4,12,33,1,92
16.5,9,26,25,2,78
16.6,6,25,20,4,74
16.7,2,14,26,3,93
16.8,4,22,22,2,80
16.9,3,16,29,4,95
17,5,17,20,3,76
17.1,3,19,28,2,79
17.2,0,22,26,3,83
17.3,5,13,23,2,81
17.4,3,7,36,1,73
17.5,3,22,43,5,70
17.6,2,15,42,5,78
17.7,2,23,55,1,79
17.8,5,23,58,5,73
17.9,3,10,50,1,82
18,7,11,35,1,68
18.1,3,13,23,1,67
18.2,6,22,18,4,59
18.3,3,27,20,0,72
18.4,5,23,16,4,64
18.5,2,15,23,2,61
18.6,2,19,27,3,86
18.7,0,18,23,4,70
18.8,2,11,30,2,75
18.9,2,12,21,1,69
19,5,15,10,3,93
19.1,0,16,25,5,96
19.2,4,17,20,1,78
19.3,4,15,10,4,81
19.4,6,18,28,3,86
19.5,3,20,21,3,71
19.6,4,9,12,2,85
19.7,6,11,23,1,70
19.8,4,16,26,1,86
19.9,3,17,20,2,71
